zinc_id,smiles
ZINC000000000002,CC1(C)CC(=O)CC(C)(C)N1Cc1nc(C2CC2)no1
ZINC000000000007,C=CCc1ccc(OCC(=O)N(CC)CC)c(OC)c1
ZINC000000000010,C[C@@]1(c2ccccc2)OC(C(=O)O)=CC1=O
ZINC000000000011,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1N(C)C
ZINC000000000012,O=C(C[S@@](=O)C(c1ccccc1)c1ccccc1)NO
ZINC000000000014,CC[C@H]1[C@H](O)N2[C@H]3C[C@@]45c6ccccc6N(C)[C@H]4[C@@H]2C[C@@H]1[C@@H]3[C@H]5O
ZINC000000000015,C[C@@H](C(=O)O)N(CCCl)CCCl
ZINC000000000016,CC1(C)O[C@H]2C[C@@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@]4(F)[C@H](O)C[C@]3(C)[C@@]2(C(=O)CO)O1
ZINC000000000017,CCC[S@](=O)c1ccc2[nH]/c(=N\C(=O)OC)[nH]c2c1
ZINC000000000018,C=CCN1C(=O)[C@@H](CC(C)C)NC1=S
ZINC000000000021,C=CC[C@H]1CN(C)CC[C@@]1(OC(=O)CC)c1ccccc1
ZINC000000000022,C=C(C)CNc1ccc([C@H](C)C(=O)O)cc1
ZINC000000000023,C=CCc1ccccc1OC[C@H](O)CNC(C)C
ZINC000000000024,O[C@@H]1C=C2CCN3Cc4cc5c(cc4[C@H]([C@H]1O)[C@H]23)OCO5
ZINC000000000025,CC1(C)O[C@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@]4(F)[C@H](O)C[C@@]3(C)[C@]2(C(=O)CO)O1
ZINC000000000026,CC1(C)O[C@H]2C[C@@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@]4(F)[C@H](O)C[C@@]3(C)[C@]2(C(=O)CO)O1
ZINC000000000027,N[C@@H](CCc1ccc(N(CCCl)CCCl)cc1)C(=O)O
ZINC000000000028,Nc1ccc2c(c1)C(=O)N[C@H](CCCl)O2
ZINC000000000030,C[C@@H](CC(C(N)=O)(c1ccccc1)c1ccccc1)N(C)C
ZINC000000000031,Cc1c(NC(=O)[C@H](C)N(C)C)c(=O)n(-c2ccccc2)n1C
ZINC000000000033,C[C@@H]1Oc2ccccc2N(CC(=O)N2CCCC[C@H]2c2nc(-c3cccnc3)no2)C1=O
ZINC000000000034,CC[C@@H](C)NC[C@@H](O)c1ccc(N)cc1
ZINC000000000035,CC(C)CCO[C@H](CN1CCCC1)c1ccccc1
ZINC000000000036,O=C(O)[C@@H](O)c1ccccc1
ZINC000000000038,CC[C@](C)(CN(C)C)OC(=O)c1ccccc1
ZINC000000000039,CC(C)(C)NC[C@@H](O)COc1ccccc1NC(=O)c1ccco1
ZINC000000000040,C[C@]12Cc3conc3C[C@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H]1CC[C@]2(C)O
ZINC000000000041,CC(C)C(=O)N1C[C@@H](CCN(C)C)c2cc([N+](=O)[O-])ccc21
ZINC000000000042,COc1ccc2c(c1)C[C@@H](C)N(CCc1ccc(N)cc1)CC2
ZINC000000000043,COc1ccc(C(=O)c2ccc3n2CC[C@@H]3C(=O)O)cc1
ZINC000000000044,C1=CN2C[C@@H](c3ccccc3)N=C2S1
ZINC000000000045,Cc1ccc(SC[C@H](S)CS)cc1
ZINC000000000048,C=CCc1cc(OC)c2c(c1OC)OCO2
ZINC000000000050,CN1CCN2c3ccccc3Cn3cccc3[C@@H]2C1
ZINC000000000051,Cc1ccccc1NC(=O)[C@H](C)N1CCCC1
ZINC000000000052,COc1cccc2c1cc([N+](=O)[O-])c1c(C(=O)O)cc3c(c12)OCO3
ZINC000000000053,CC(=O)Oc1ccccc1C(=O)O
ZINC000000000054,C[C@H](C(=O)O)c1ccc(-c2ccsc2)cc1
ZINC000000000055,CN1[C@H]2CC[C@@H]1CC(OC(=O)[C@@](C)(CO)c1ccccc1)C2
